Time,Type,OrderID,Size,Price,Direction
34200.002621,1,1,280,1850080,-1
34200.006153,1,2,140,1850128,-1
34200.008473,1,3,350,1850043,-1
34200.010354,1,4,150,1849597,1
34200.012031,1,5,70,1849781,1
34200.014049,1,6,100,1850475,-1
34200.017325,1,7,290,1849900,-1
34200.017694,1,8,110,1850286,-1
34200.019366,1,9,110,1850315,1
34200.019388,1,10,90,1849881,1
34200.021541,1,11,10,1850421,-1
34200.023585,1,12,390,1850352,1
34200.027210,1,13,260,1850618,-1
34200.029952,1,14,200,1850069,-1
34200.032644,1,15,40,1850360,-1
34200.033617,1,16,350,1850437,1
34200.035253,1,17,290,1849886,1
34200.039242,1,18,10,1850400,1
34200.041830,1,19,270,1849986,1
34200.042352,1,20,180,1850646,-1
34200.043774,1,21,50,1849860,1
34200.046576,1,22,130,1850542,-1
34200.047120,1,23,250,1850290,1
34200.047643,1,24,290,1850493,-1
34200.048518,1,25,40,1850104,1
34200.052451,1,26,390,1850082,-1
34200.053672,1,27,300,1850633,-1
34200.056406,1,28,20,1850135,-1
34200.058258,1,29,240,1850455,-1
34200.059992,1,30,380,1850460,-1
34200.063534,1,31,160,1849764,1
34200.063662,1,32,360,1850380,1
34200.066533,1,33,270,1850113,1
34200.069666,1,34,40,1850653,-1
34200.069766,1,35,300,1850596,-1
34200.073315,1,36,370,1850119,1
34200.074608,1,37,290,1850174,-1
34200.077901,1,38,40,1850502,1
34200.079814,1,39,260,1850276,1
34200.079981,1,40,260,1850254,1
34200.083218,1,41,130,1850199,-1
34200.085428,1,42,400,1850023,1
34200.086366,1,43,170,1850769,-1
34200.089064,1,44,210,1850663,-1
34200.090213,1,45,350,1850098,1
34200.090231,1,46,240,1850565,-1
34200.093116,1,47,270,1850096,-1
34200.094539,1,48,190,1850148,-1
34200.095017,1,49,180,1850417,1
34200.096772,1,50,320,1850393,-1
34200.099671,1,51,170,1850476,-1
34200.100724,3,31,118,1850096,-1
34200.101040,1,52,80,1850143,1
34200.104418,1,53,30,1850293,-1
34200.106064,1,54,280,1849564,1
34200.106931,1,55,10,1849775,-1
34200.108461,1,56,20,1849774,1
34200.110548,1,57,30,1850131,1
34200.113680,1,58,40,1849605,1
34200.115637,1,59,220,1849770,-1
34200.119152,1,60,200,1850086,1
34200.120416,1,61,170,1849514,1
34200.122363,1,62,230,1850362,-1
34200.126212,1,63,120,1849955,-1
34200.129577,3,9,167,1849807,1
34200.129605,1,64,90,1850059,-1
34200.130495,1,65,290,1849498,1
34200.133162,1,66,130,1849973,-1
34200.135561,1,67,390,1849467,1
34200.138829,1,68,20,1849940,-1
34200.138853,1,69,150,1849524,1
34200.142010,3,59,13,1849809,-1
34200.142113,1,70,60,1849341,1
34200.144449,1,71,30,1850086,-1
34200.146208,1,72,130,1849943,-1
34200.148733,1,73,130,1849430,1
34200.149640,1,74,340,1850139,-1
34200.150234,3,50,160,1849816,1
34200.152511,1,75,90,1849962,-1
34200.156123,1,76,10,1850281,-1
34200.159177,1,77,80,1849383,1
34200.160594,1,78,260,1849616,1
34200.162351,1,79,380,1849635,1
34200.162825,1,80,290,1849947,1
34200.164816,1,81,70,1850185,-1
34200.166740,1,82,10,1850146,-1
34200.169381,1,83,150,1849910,-1
34200.171922,1,84,140,1849713,1
34200.174427,1,85,360,1850382,-1
34200.175082,1,86,200,1850371,1
34200.178724,1,87,300,1850213,-1
34200.181046,1,88,210,1850129,1
34200.181885,1,89,280,1850238,1
34200.184448,1,90,130,1850622,-1
34200.185880,1,91,370,1850585,1
34200.188847,1,92,390,1850609,-1
34200.189802,3,13,160,1850328,1
34200.192687,1,93,300,1849875,1
34200.193555,1,94,20,1849993,1
34200.196738,1,95,360,1850574,-1
34200.200296,1,96,10,1850229,-1
34200.202265,1,97,50,1850098,1
34200.205645,1,98,70,1849845,1
34200.205749,1,99,210,1849858,1
34200.206451,1,100,200,1850235,-1
34200.207632,1,101,240,1849830,1
34200.209891,1,102,370,1850106,1
34200.210125,3,35,138,1850091,1
34200.212460,1,103,360,1850027,-1
34200.214827,1,104,340,1850156,-1
34200.215023,1,105,230,1849703,1
34200.217638,1,106,20,1850168,-1
34200.217695,1,107,300,1850042,1
34200.217957,1,108,300,1849660,1
34200.220680,3,82,42,1849858,1
34200.221124,1,109,30,1850012,1
34200.224702,1,110,260,1849702,1
34200.228514,1,111,60,1849656,1
34200.228699,1,112,230,1849721,1
34200.229863,1,113,160,1850104,-1
34200.232519,1,114,20,1849877,1
34200.236259,1,115,80,1850271,1
34200.240088,1,116,270,1849826,1
34200.242832,1,117,240,1850499,-1
34200.243977,1,118,320,1850201,1
34200.246624,1,119,10,1850198,1
34200.247332,1,120,140,1849884,1
34200.249975,1,121,110,1849984,1
34200.253499,1,122,20,1849700,1
34200.255181,1,123,390,1850246,-1
34200.258809,1,124,30,1850168,-1
34200.261249,1,125,380,1850060,1
34200.263731,1,126,130,1850168,-1
34200.266207,1,127,170,1849875,-1
34200.268760,1,128,390,1849593,1
34200.269034,1,129,220,1849673,1
34200.270519,1,130,20,1850142,1
34200.271283,1,131,250,1850312,-1
34200.273928,1,132,180,1850300,-1
34200.276459,1,133,90,1849493,1
34200.278333,1,134,230,1849389,1
34200.280287,1,135,270,1849982,-1
34200.281906,1,136,230,1849834,-1
34200.285601,1,137,230,1849618,-1
34200.288743,1,138,210,1849440,1
34200.291894,1,139,110,1849657,-1
34200.293365,1,140,10,1849622,1
34200.293483,1,141,370,1849969,-1
34200.295663,1,142,170,1849776,-1
34200.297479,1,143,50,1850066,1
34200.300817,1,144,380,1849747,1
34200.300828,3,56,22,1849960,1
34200.303195,1,145,270,1850183,1
34200.306618,1,146,30,1850148,-1
34200.307555,1,147,380,1849759,-1
34200.311329,1,148,300,1849769,1
34200.314845,1,149,70,1850151,1
34200.317724,1,150,20,1850230,-1
34200.320961,1,151,170,1850185,1
34200.323561,1,152,130,1849953,1
34200.327400,1,153,80,1850107,1
34200.330863,3,90,180,1850306,-1
34200.332013,1,154,140,1850297,-1
34200.335870,3,85,37,1850334,1
34200.339483,1,155,20,1850188,1
34200.343319,1,156,40,1850370,-1
34200.343639,1,157,60,1850411,-1
34200.346090,1,158,10,1850324,-1
34200.349872,1,159,130,1850605,1
34200.352270,1,160,110,1850197,1
34200.355005,1,161,220,1850434,-1
34200.358654,1,162,10,1850559,-1
34200.362185,1,163,110,1850608,-1
34200.362450,1,164,270,1850827,-1
34200.363170,1,165,130,1850683,-1
34200.366189,1,166,20,1849965,1
34200.368874,1,167,80,1849919,1
34200.371956,1,168,80,1850341,-1
34200.372102,1,169,70,1850400,-1
34200.375019,1,170,320,1850353,-1
34200.375604,1,171,260,1850351,1
34200.379385,1,172,20,1849935,1
34200.382091,1,173,180,1850282,1
34200.382793,1,174,90,1850088,1
34200.383554,1,175,340,1850504,1
34200.387480,1,176,320,1850331,1
34200.390536,1,177,340,1850489,-1
34200.391158,1,178,40,1850650,-1
34200.392243,1,179,390,1850879,-1
34200.393547,1,180,220,1850629,1
34200.395341,1,181,280,1850183,1
34200.397002,1,182,240,1850295,1
34200.398666,1,183,80,1850194,-1
34200.400596,1,184,340,1850520,1
34200.404377,1,185,300,1850204,-1
34200.404663,1,186,160,1850426,-1
34200.408660,1,187,350,1850477,-1
34200.408666,1,188,20,1850592,-1
34200.412078,1,189,340,1850592,-1
34200.415069,1,190,10,1850078,-1
34200.418112,1,191,210,1850443,-1
34200.421742,1,192,120,1850659,-1
34200.425041,1,193,370,1850498,1
34200.427310,3,129,165,1850348,1
34200.430761,1,194,300,1850616,-1
34200.432690,3,65,27,1850214,1
34200.433751,1,195,330,1850258,-1
34200.435786,1,196,30,1849953,1
34200.438198,1,197,400,1850562,-1
34200.441040,1,198,180,1850394,-1
34200.443254,1,199,120,1850073,1
34200.446848,1,200,140,1850280,-1
34200.447561,1,201,140,1850128,-1
34200.449987,1,202,370,1850425,1
34200.452128,1,203,400,1850413,1
34200.453538,3,133,84,1850280,1
34200.454438,1,204,230,1850030,1
34200.458245,1,205,90,1850408,-1
34200.458690,1,206,350,1850233,1
34200.462203,3,1,185,1850082,1
34200.466125,1,207,70,1850379,-1
34200.467609,1,208,50,1850178,1
34200.468164,1,209,150,1850370,1
34200.469674,1,210,350,1849967,1
34200.472718,3,161,179,1850087,1
34200.475048,1,211,370,1849755,1
34200.475098,1,212,40,1849960,-1
34200.475616,1,213,280,1849883,-1
34200.478389,1,214,10,1850433,-1
34200.480076,1,215,270,1849948,-1
34200.481223,1,216,400,1849880,1
34200.482487,1,217,270,1850425,-1
34200.482910,1,218,390,1850492,-1
34200.484302,1,219,380,1849974,1
34200.487091,1,220,380,1850086,-1
34200.488884,3,170,47,1849941,1
34200.489484,1,221,270,1850177,1
34200.490931,1,222,60,1850222,-1
34200.492852,1,223,110,1849871,1
34200.492887,1,224,140,1849931,-1
34200.496538,1,225,180,1849984,1
34200.500031,1,226,150,1850063,1
34200.502950,1,227,80,1850363,-1
34200.505179,1,228,120,1850490,-1
34200.509025,1,229,160,1849779,1
34200.511843,1,230,130,1850280,-1
34200.512444,1,231,380,1849865,1
34200.516231,3,160,159,1849998,-1
34200.516802,1,232,20,1850325,-1
34200.517334,1,233,300,1849718,1
34200.520013,3,222,102,1849967,1
34200.520455,1,234,230,1850312,-1
34200.520651,1,235,150,1850138,1
34200.523522,1,236,140,1849964,-1
34200.525479,1,237,120,1850501,-1
34200.527326,1,238,80,1850252,1
34200.528226,3,121,12,1850095,-1
34200.530574,3,74,100,1850078,1
34200.531786,1,239,80,1850480,-1
34200.532614,1,240,290,1850465,-1
34200.535137,1,241,10,1849930,-1
34200.538549,1,242,120,1850501,-1
34200.542204,1,243,270,1850299,-1
34200.544077,1,244,300,1850215,-1
34200.544539,1,245,220,1850315,-1
34200.545492,1,246,290,1850497,-1
34200.548828,1,247,100,1850530,-1
34200.552003,3,73,87,1850106,-1
34200.555439,1,248,330,1849935,-1
34200.556767,3,198,73,1850134,-1
34200.560662,1,249,210,1850132,-1
34200.564155,1,250,10,1850346,-1
34200.566039,1,251,160,1850181,-1
34200.566525,1,252,170,1850319,-1
34200.569893,3,168,92,1850185,1
34200.570322,1,253,400,1849957,-1
34200.571218,1,254,400,1849862,1
34200.572388,1,255,230,1850063,1
34200.574919,1,256,80,1850323,1
34200.578307,1,257,140,1850379,-1
34200.581860,1,258,40,1849981,-1
34200.582539,3,180,133,1850112,1
34200.583873,1,259,270,1849727,1
34200.586698,1,260,390,1849989,-1
34200.588416,1,261,360,1850315,-1
34200.591165,1,262,150,1850387,-1
34200.594007,1,263,80,1850325,-1
34200.596555,1,264,240,1850168,1
34200.599630,1,265,120,1850137,1
34200.600350,1,266,40,1849914,1
34200.601103,1,267,50,1850313,-1
34200.603145,1,268,110,1849771,1
34200.606262,1,269,70,1849641,1
34200.608134,1,270,340,1850013,-1
34200.611069,3,239,94,1849740,-1
34200.611434,1,271,390,1849989,1
34200.613789,3,265,158,1849869,-1
34200.617159,1,272,350,1850247,-1
34200.619698,1,273,120,1849776,-1
34200.622360,1,274,40,1849469,1
34200.622573,1,275,210,1849560,1
34200.622629,1,276,80,1849542,-1
34200.624184,3,132,88,1849768,-1
34200.627375,1,277,40,1850064,-1
34200.630811,1,278,400,1850138,-1
34200.633698,1,279,30,1850263,-1
34200.634539,1,280,380,1850192,-1
34200.638476,3,2,52,1849892,-1
34200.640522,1,281,60,1849906,-1
34200.641680,1,282,10,1849942,-1
34200.643481,1,283,30,1849735,1
34200.645163,1,284,30,1849751,1
34200.645479,1,285,140,1850408,1
34200.646083,1,286,50,1850369,1
34200.648487,3,250,147,1850368,1
34200.651163,3,62,98,1850468,-1
34200.654796,1,287,130,1850650,-1
34200.657603,1,288,140,1850465,-1
34200.660213,1,289,360,1850610,1
